facility_id,facility_name,full_address,postal_code,latitude,longitude,PLN_AREA_N
130,St Lukes Eldercare - Clementi Centre,602 Clementi West Street 1 #01-25 Singapore 120602,120602,1.30512415125823,103.766300972142,CLEMENTI
131,St Lukes Eldercare - Golden Years Centre,831 Hougang Central #01-1506 Singapore 530831,530831,1.37131564445886,103.889932276881,HOUGANG
132,St Lukes Eldercare - Hougang Centre,126 Hougang Avenue 1 #01-1506 Singapore 530126,530126,1.35223030818128,103.885711060613,HOUGANG
133,St Lukes Eldercare Ltd - Chong Pang,113 Yishun Ring Road #01-457 Singapore 760113,760113,1.43513580201461,103.828873241093,YISHUN
134,St Lukes Eldercare Ltd - Nee Soon Central,766 Yishun Avenue 3 #01-295 Singapore 760766,760766,1.42470239952978,103.833949786818,YISHUN
135,St Lukes Eldercare Ltd - Nee Soon East,260 Yishun Street 22 #01-97 Singapore 760260,760260,1.43547754128002,103.839276532996,YISHUN
136,Sunlove Senior Care Centre @ Ang Mo Kio,557 Ang Mo Kio Avenue 10 Cheng San Place #01-1874 Singapore 560557,560557,1.3716257020332,103.857736107527,ANG MO KIO
137,Sunshine Welfare Action Mission (SWAMI),5 Sembawang Walk SWAMI Home For The Aged Singapore 757717,757717,1.44006607040064,103.824060541138,SEMBAWANG
138,THK SCC @ Kaki Bukit / Bedok North,534 Bedok North Street 3 #01-814 Singapore 460534,460534,1.33303698213001,103.924812248346,BEDOK
139,The Salvation Army Peacehaven @ Bedok Arena,187 Bedok North Street 4 #01-02 Singapore 460187,460187,1.33083543731954,103.940641339343,BEDOK
140,The Salvation Army Peacehaven @ Jade Circle ARENA,9 Upper Changi Road North Singapore 507706,507706,1.35389600361647,103.964576302741,PASIR RIS
141,The Salvation Army Peacehaven @ Bedok Day Centre,121 Bedok North Road #01-161 Singapore 460121,460121,1.32964201790706,103.938821071117,BEDOK
142,Thong Teck Home,91 Geylang East Avenue 2 Singapore 389759,389759,1.31875532288788,103.888271564541,GEYLANG
143,Tsao Foundation,298 Tiong Bahru Road Central Plaza #15-01 Singapore 168730,168730,1.28629937187776,103.828093503404,BUKIT MERAH
144,Vanguard Senior Care @ Senja,50 Woodlands Road Singapore 677726,677726,1.38271254101906,103.760166444878,BUKIT PANJANG
145,Vanguard Senior Care @ Woodlands,2 Woodlands Rise Woodlands Care Home Singapore 737749,737749,1.44612881154559,103.804589469079,WOODLANDS
146,Vanguard Senior Care Centre @ Bukit Batok,11 Bukit Batok West Avenue 9 Bukit Batok Care Home Singapore 657995,657995,1.35387904859721,103.740677712222,BUKIT BATOK
147,Vanguard Senior Care Centre @ Tampines,31 Tampines Street 61 Tampines Care Home Singapore 528564,528564,1.36331863244646,103.937077670351,TAMPINES
148,Yong-En Care Centre,335A Smith Street #03-57 Singapore 051335,051335,1.28211630828089,103.842845624261,OUTRAM
